source,id,kp,dir,t_ms,theta,v
test kp20.txt,1,-20.0,-1,320.000,-0.0992,0.293
test kp20.txt,1,-20.0,-1,321.000,-0.0999,0.279
test kp20.txt,1,-20.0,-1,322.000,-0.1003,-0.265
test kp20.txt,1,-20.0,-1,323.000,-0.0985,0.308
test kp20.txt,1,-20.0,-1,324.000,-0.0999,0.279
test kp20.txt,1,-20.0,-1,325.000,-0.1014,-0.287
test kp20.txt,1,-20.0,-1,326.000,-0.0992,0.293
test kp20.txt,1,-20.0,-1,327.000,-0.0999,0.279
test kp20.txt,1,-20.0,-1,328.000,-0.0996,0.286
test kp20.txt,1,-20.0,-1,329.000,-0.1014,-0.287
test kp20.txt,1,-20.0,-1,330.000,-0.0985,0.308
test kp20.txt,1,-20.0,-1,331.000,-0.0966,0.344
test kp20.txt,1,-20.0,-1,332.000,-0.0974,0.33
test kp20.txt,1,-20.0,-1,333.000,-0.0963,0.352
test kp20.txt,1,-20.0,-1,334.000,-0.1003,-0.265
test kp20.txt,1,-20.0,-1,335.000,-0.0985,0.308
test kp20.txt,1,-20.0,-1,336.000,-0.1032,-0.323
test kp20.txt,1,-20.0,-1,337.000,-0.0999,0.279
test kp20.txt,1,-20.0,-1,338.000,-0.1003,-0.265
test kp20.txt,1,-20.0,-1,339.000,-0.0919,0.439
test kp20.txt,1,-20.0,-1,340.000,-0.0988,0.301
test kp20.txt,1,-20.0,-1,341.000,-0.0883,0.512
test kp20.txt,1,-20.0,-1,342.000,-0.0992,0.293
test kp20.txt,1,-20.0,-1,343.000,-0.0996,0.286
test kp20.txt,1,-20.0,-1,344.000,-0.0992,0.293
test kp20.txt,1,-20.0,-1,345.000,-0.1043,-0.345
test kp20.txt,1,-20.0,-1,346.000,-0.1006,-0.272
test kp20.txt,1,-20.0,-1,347.000,-0.0999,0.279
test kp20.txt,1,-20.0,-1,348.000,-0.0992,0.293
test kp20.txt,1,-20.0,-1,349.000,-0.0988,0.301
test kp20.txt,1,-20.0,-1,350.000,-0.0999,0.279
test kp20.txt,1,-20.0,-1,351.000,-0.0974,0.33
test kp20.txt,1,-20.0,-1,352.000,-0.1014,-0.287
test kp20.txt,1,-20.0,-1,353.000,-0.1065,-0.389
test kp20.txt,1,-20.0,-1,354.000,-0.0955,0.366
test kp20.txt,1,-20.0,-1,355.000,-0.1028,-0.316
test kp20.txt,1,-20.0,-1,356.000,-0.1014,-0.287
test kp20.txt,1,-20.0,-1,357.000,-0.0992,0.293
test kp20.txt,1,-20.0,-1,358.000,-0.0999,0.279
test kp20.txt,1,-20.0,-1,359.000,-0.0985,0.308
test kp20.txt,1,-20.0,-1,360.000,-0.101,-0.279
test kp20.txt,1,-20.0,-1,361.000,-0.0996,0.286
test kp20.txt,1,-20.0,-1,362.000,-0.0992,0.293
test kp20.txt,1,-20.0,-1,363.000,-0.1028,-0.316
test kp20.txt,1,-20.0,-1,364.000,-0.0999,0.279
test kp20.txt,1,-20.0,-1,365.000,-0.0955,0.366
test kp20.txt,1,-20.0,-1,366.000,-0.0999,0.279
test kp20.txt,1,-20.0,-1,367.000,-0.1006,-0.272
test kp20.txt,1,-20.0,-1,368.000,-0.1003,-0.265
test kp20.txt,1,-20.0,-1,369.000,-0.1021,-0.301
test kp20.txt,1,-20.0,-1,370.000,-0.1006,-0.272
test kp20.txt,1,-20.0,-1,371.000,-0.1036,-0.33
test kp20.txt,1,-20.0,-1,372.000,-0.1003,-0.265
test kp20.txt,1,-20.0,-1,373.000,-0.1021,-0.301
test kp20.txt,1,-20.0,-1,374.000,-0.101,-0.279
test kp20.txt,1,-20.0,-1,375.000,-0.1014,-0.287
test kp20.txt,1,-20.0,-1,376.000,-0.1036,-0.33
test kp20.txt,1,-20.0,-1,377.000,-0.0988,0.301
test kp20.txt,1,-20.0,-1,378.000,-0.0999,0.279
test kp20.txt,1,-20.0,-1,379.000,-0.0963,0.352
test kp20.txt,1,-20.0,-1,380.000,-0.1014,-0.287
test kp20.txt,1,-20.0,-1,381.000,-0.0999,0.279
test kp20.txt,1,-20.0,-1,382.000,-0.101,-0.279
test kp20.txt,1,-20.0,-1,383.000,-0.1003,-0.265
test kp20.txt,1,-20.0,-1,384.000,-0.0941,0.395
test kp20.txt,1,-20.0,-1,385.000,-0.0999,0.279
test kp20.txt,1,-20.0,-1,386.000,-0.0992,0.293
test kp20.txt,1,-20.0,-1,387.000,-0.097,0.337
test kp20.txt,1,-20.0,-1,388.000,-0.1014,-0.287
test kp20.txt,1,-20.0,-1,389.000,-0.0985,0.308
test kp20.txt,1,-20.0,-1,390.000,-0.1028,-0.316
test kp20.txt,1,-20.0,-1,391.000,-0.1017,-0.294
test kp20.txt,1,-20.0,-1,392.000,-0.1003,-0.265
test kp20.txt,1,-20.0,-1,393.000,-0.0999,0.279
test kp20.txt,1,-20.0,-1,394.000,-0.1006,-0.272
test kp20.txt,1,-20.0,-1,395.000,-0.0985,0.308
test kp20.txt,1,-20.0,-1,396.000,-0.1014,-0.287
test kp20.txt,1,-20.0,-1,397.000,-0.0999,0.279
test kp20.txt,1,-20.0,-1,398.000,-0.1014,-0.287
test kp20.txt,1,-20.0,-1,399.000,-0.097,0.337
test kp20.txt,1,-20.0,-1,400.000,-0.0999,0.279
test kp20.txt,1,-20.0,-1,401.000,-0.0985,0.308
test kp20.txt,1,-20.0,-1,402.000,-0.0985,0.308
test kp20.txt,1,-20.0,-1,403.000,-0.0992,0.293
test kp20.txt,1,-20.0,-1,404.000,-0.0999,0.279
test kp20.txt,1,-20.0,-1,405.000,-0.1028,-0.316
test kp20.txt,1,-20.0,-1,406.000,-0.101,-0.279
test kp20.txt,1,-20.0,-1,407.000,-0.1014,-0.287
